Issue # from Github,Issue URL,Issue title from Github,Name of org in Record ID,Record ID,Related ID,Name of org in Related ID,Relationship of Related ID to Record ID,Current location of Related ID
10434,https://github.com/ror-community/ror-updates/issues/10434,Modify the information in an existing ROR record: Woolcock Institute of Medical Research https://ror.org/04hy0x592,Woolcock Institute of Medical Research,https://ror.org/04hy0x592,https://ror.org/0384j8v12,University of Sydney,Delete,Production
10434,https://github.com/ror-community/ror-updates/issues/10434,Modify the information in an existing ROR record: Woolcock Institute of Medical Research https://ror.org/04hy0x592,University of Sydney,https://ror.org/0384j8v12,https://ror.org/04hy0x592,Woolcock Institute of Medical Research,Error,Error
10434,https://github.com/ror-community/ror-updates/issues/10434,Modify the information in an existing ROR record: Woolcock Institute of Medical Research https://ror.org/04hy0x592,Woolcock Institute of Medical Research,https://ror.org/04hy0x592,https://ror.org/01sf06y89,Macquarie University,Parent,Production
10434,https://github.com/ror-community/ror-updates/issues/10434,Modify the information in an existing ROR record: Woolcock Institute of Medical Research https://ror.org/04hy0x592,Macquarie University,https://ror.org/01sf06y89,https://ror.org/04hy0x592,Woolcock Institute of Medical Research,Child,Release
10445,https://github.com/ror-community/ror-updates/issues/10445,Modify the information in an existing ROR record: InnovaWood - https://ror.org/00bjskz46,InnovaWood,https://ror.org/00bjskz46,https://ror.org/019gta678,InnovaWood,Successor,Production
10446,https://github.com/ror-community/ror-updates/issues/10446,Add a new organization to ROR - Government of Punjab,Government of Punjab,,https://ror.org/01qbsyz51,Ayub Agriculture Research Institute,Child,Release
10446,https://github.com/ror-community/ror-updates/issues/10446,Add a new organization to ROR - Government of Punjab,Ayub Agriculture Research Institute,https://ror.org/01qbsyz51,,Government of Punjab,Parent,Release
10447,https://github.com/ror-community/ror-updates/issues/10447,Modify the information in an existing ROR record: Ayub Agriculture Research Institute - https://ror.org/01qbsyz51,Ayub Agriculture Research Institute,https://ror.org/01qbsyz51,https://ror.org/054d77k59,University of Agriculture Faisalabad,Related,Production
10447,https://github.com/ror-community/ror-updates/issues/10447,Modify the information in an existing ROR record: Ayub Agriculture Research Institute - https://ror.org/01qbsyz51,University of Agriculture Faisalabad,https://ror.org/054d77k59,https://ror.org/01qbsyz51,Ayub Agriculture Research Institute,Related,Release
5485,https://github.com/ror-community/ror-updates/issues/5485,Add a new organization to ROR: National Coordination Office,National Coordination Office,,https://ror.org/021nxhr62,National Science Foundation,Parent,Production
5485,https://github.com/ror-community/ror-updates/issues/5485,Add a new organization to ROR: National Coordination Office,National Science Foundation,https://ror.org/021nxhr62,,National Coordination Office,Child,Release
10449,https://github.com/ror-community/ror-updates/issues/10449,Add a new organization to ROR: European Center for Security and Privacy by Design,European Center for Security and Privacy by Design,,https://ror.org/0378v2g76,replace==National Research Center for Applied Cybersecurity ATHENE,Successor,Release
10449,https://github.com/ror-community/ror-updates/issues/10449,Add a new organization to ROR: European Center for Security and Privacy by Design,replace==National Research Center for Applied Cybersecurity ATHENE,https://ror.org/0378v2g76,,European Center for Security and Privacy by Design,Predecessor,Release
10450,https://github.com/ror-community/ror-updates/issues/10450,Add a new organization to ROR - Center for Advanced Security Research Darmstadt,Center for Advanced Security Research Darmstadt,,https://ror.org/0378v2g76,replace==National Research Center for Applied Cybersecurity ATHENE,Successor,Release
10450,https://github.com/ror-community/ror-updates/issues/10450,Add a new organization to ROR - Center for Advanced Security Research Darmstadt,replace==National Research Center for Applied Cybersecurity ATHENE,https://ror.org/0378v2g76,,Center for Advanced Security Research Darmstadt,Predecessor,Release
10475,https://github.com/ror-community/ror-updates/issues/10475,Modify the information in an existing ROR record: Integrated Device Technology (United States) - https://ror.org/03yvs0f43,Integrated Device Technology (United States),https://ror.org/03yvs0f43,https://ror.org/058wb7691,Renesas Electronics (Japan),Successor,Production
10476,https://github.com/ror-community/ror-updates/issues/10476,Modify the information in an existing ROR record: Integrated Device Technology (South Korea) - https://ror.org/02ndgyq34,Integrated Device Technology (South Korea),https://ror.org/02ndgyq34,https://ror.org/058wb7691,Renesas Electronics (Japan),Successor,Production
10478,https://github.com/ror-community/ror-updates/issues/10478,Modify the information in an existing ROR record: CA Technologies (United States) - https://ror.org/01s9db082,CA Technologies (United States),https://ror.org/01s9db082,https://ror.org/035gt5s03,Broadcom (United States),Successor,Production
10478,https://github.com/ror-community/ror-updates/issues/10478,Modify the information in an existing ROR record: CA Technologies (United States) - https://ror.org/01s9db082,CA Technologies (United States),https://ror.org/01s9db082,https://ror.org/035gt5s03,Broadcom (United States),Delete,Production
10478,https://github.com/ror-community/ror-updates/issues/10478,Modify the information in an existing ROR record: CA Technologies (United States) - https://ror.org/01s9db082,Broadcom (United States),https://ror.org/035gt5s03,https://ror.org/01s9db082,CA Technologies (United States),Error,Error
10488,https://github.com/ror-community/ror-updates/issues/10488,"Add a new organization to ROR: 
 
Rotterdam Study",Rotterdam Study,,https://ror.org/018906e22,Erasmus MC,Parent,Production
10488,https://github.com/ror-community/ror-updates/issues/10488,"Add a new organization to ROR: 
 
Rotterdam Study",Erasmus MC,https://ror.org/018906e22,,Rotterdam Study,Child,Release
10492,https://github.com/ror-community/ror-updates/issues/10492,Add a new organization to ROR: Approches contemporaines de la création et de la réflexion artistiques,Approches contemporaines de la création et de la réflexion artistiques,,https://ror.org/00pg6eq24,University of Strasbourg,Parent,Production
10492,https://github.com/ror-community/ror-updates/issues/10492,Add a new organization to ROR: Approches contemporaines de la création et de la réflexion artistiques,University of Strasbourg,https://ror.org/00pg6eq24,,Approches contemporaines de la création et de la réflexion artistiques,Child,Release
10493,https://github.com/ror-community/ror-updates/issues/10493,Add a new organization to ROR: Centre d'analyse des rhétoriques religieuses de l'Antiquité,Centre d'analyse des rhétoriques religieuses de l'Antiquité,,https://ror.org/00pg6eq24,University of Strasbourg,Parent,Production
10493,https://github.com/ror-community/ror-updates/issues/10493,Add a new organization to ROR: Centre d'analyse des rhétoriques religieuses de l'Antiquité,University of Strasbourg,https://ror.org/00pg6eq24,,Centre d'analyse des rhétoriques religieuses de l'Antiquité,Child,Release
10494,https://github.com/ror-community/ror-updates/issues/10494,Add a new organization to ROR: Centre d'études internationales et européennes,Centre d'études internationales et européennes,,https://ror.org/00pg6eq24,University of Strasbourg,Parent,Production
10494,https://github.com/ror-community/ror-updates/issues/10494,Add a new organization to ROR: Centre d'études internationales et européennes,University of Strasbourg,https://ror.org/00pg6eq24,,Centre d'études internationales et européennes,Child,Release
10495,https://github.com/ror-community/ror-updates/issues/10495,Add a new organization to ROR: Centre de droit privé fondamental ,Centre de droit privé fondamental,,https://ror.org/00pg6eq24,University of Strasbourg,Parent,Production
10495,https://github.com/ror-community/ror-updates/issues/10495,Add a new organization to ROR: Centre de droit privé fondamental ,University of Strasbourg,https://ror.org/00pg6eq24,,Centre de droit privé fondamental,Child,Release
10497,https://github.com/ror-community/ror-updates/issues/10497,Add a new organization to ROR: Immuno-Rhumathologie moléculaire,Immuno-Rhumathologie moléculaire,,https://ror.org/00pg6eq24,University of Strasbourg,Parent,Production
10497,https://github.com/ror-community/ror-updates/issues/10497,Add a new organization to ROR: Immuno-Rhumathologie moléculaire,University of Strasbourg,https://ror.org/00pg6eq24,,Immuno-Rhumathologie moléculaire,Child,Release
10497,https://github.com/ror-community/ror-updates/issues/10497,Add a new organization to ROR: Immuno-Rhumathologie moléculaire,Immuno-Rhumathologie moléculaire,,https://ror.org/02vjkv261,Inserm,Parent,Production
10497,https://github.com/ror-community/ror-updates/issues/10497,Add a new organization to ROR: Immuno-Rhumathologie moléculaire,Inserm,https://ror.org/02vjkv261,,Immuno-Rhumathologie moléculaire,Child,Release
